dsb_id,x,y,z,complexity,i_energy,j_energy,k_energy,E_local,E_total_3x3x3,E_mean_3x3x3,E_max_3x3x3,E_std_3x3x3,n_active_3x3x3,grad_x,grad_y,grad_z,grad_mag,core_frac,is_local_max,run_id,particle,dataset_type,E_mean,E_std,E_zscore,f_direct,delta_f_used,p2_local,p3_local,P_DSB_21p000,P_DSB_2p100,P_DSB_0p210,P_DSB_0p021,P_DSB_0p001
0,-0.049857,0.007761,2.613474,DSB+,29,30,38,0.9409024715423584,10.829864190891385,0.4011060811441254,1.023080348968506,0.4373064531053935,27,0.4635629588738084,-0.3898112499155104,-0.005396395921707153,0.6057000482825443,0.08688035740407818,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.4653649003108405,0.4286333897242079,0.08753,0.0,0.5713666102757922,1.0,0.9165476101918751,0.6668380461048333,0.5556490379029632,0.5407107909078931
1,-0.007156,0.073645,-0.252677,DSB+,29,30,29,0.9161896109580994,11.010265932884067,0.40778762714385436,1.016220569610596,0.4434599661592223,27,0.47018220461905,-0.38026413368061185,0.02038174867630005,0.6050516776139045,0.08321230536509178,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3698098371377809,0.42026945504467,0.08753,0.0,0.57973054495533,1.0,0.9153118584933577,0.661904628962989,0.5490691489697436,0.5339096984340743
2,-0.049275,0.008548,-1.988474,DSB,29,30,23,0.9165059328079224,11.013448564335704,0.4079055023828038,0.9941391944885254,0.44195815056002596,27,0.4881101371720433,-0.3741738307289779,0.009088069200515747,0.6150936145127034,0.08321698035397507,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.371032931252677,0.4203765124725468,0.08753,0.0,0.5796234875274532,1.0,0.9153276785836931,0.661967786557625,0.5491533846923768,0.5339967660039134
3,-0.052207,0.009343,-3.820262,DSB,29,30,17,0.9285084009170532,10.951571813318878,0.4056137708636622,0.9857341051101685,0.44049244831570156,27,0.4802015759050846,-0.3774097138084471,0.0026619434356689453,0.610768967385832,0.08478311759666794,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.41744182813008474,0.42443868321622635,0.08753,0.0,0.5755613167837736,1.0,0.9159279037322056,0.6643640292981292,0.5523493461601022,0.5373001697095634
4,0.248915,0.3043,-0.460599,DSB,30,30,28,0.9316490888595581,10.976356943137944,0.4065317386347387,0.9778283834457397,0.44177270686176856,27,-0.4491441799327731,-0.4420076278038323,-0.011151373386383057,0.6302583522117394,0.0848778054217624,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.42958565234378493,0.42550163214965153,0.08753,0.0,0.5744983678503485,1.0,0.9160849486868391,0.6649909904199774,0.5531855484167932,0.5381644835197646
5,-0.0606052,0.030583,3.9139,DSB+,29,30,42,0.9003603458404541,10.798078121617436,0.3999288193191643,0.9658835530281067,0.4327703066210118,27,0.460757321678102,-0.3710063863545656,-0.00897836685180664,0.5916279737023739,0.0833815365752796,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3086041979466975,0.4149121254462744,0.08753,0.0,0.5850878745537256,1.0,0.9145201088215535,0.658743774393567,0.5448533951822826,0.5295522189011569
6,-0.05612,0.0304,3.794098,DSB,29,30,42,0.9003603458404541,10.798078121617436,0.3999288193191643,0.9658835530281067,0.4327703066210118,27,0.460757321678102,-0.3710063863545656,-0.00897836685180664,0.5916279737023739,0.0833815365752796,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3086041979466975,0.4149121254462744,0.08753,0.0,0.5850878745537256,1.0,0.9145201088215535,0.658743774393567,0.5448533951822826,0.5295522189011569
7,-0.068224,-0.226431,-4.476534,DSB+,29,29,15,0.8155048489570618,10.836635010549799,0.40135685224258516,0.960940420627594,0.440736780951301,27,0.4427718501538038,0.47292339289560914,0.030795395374298096,0.648576751982968,0.07525443536329011,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,-0.019499152842186198,0.3861932391517235,0.08753,0.0,0.6138067608482765,1.0,0.9102729097504042,0.6417879371266032,0.5222387403135369,0.5061773016971092
8,-0.094983,0.04135,-1.472048,DSB,29,30,25,0.9028444290161133,10.850108051672578,0.401855853765651,0.9726324081420898,0.43681379600894815,27,0.47057019267231226,-0.3830551980063319,-0.025789737701416016,0.6073159816125664,0.08321063944398727,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.3182091857613595,0.4157528500296918,0.08753,0.0,0.5842471499703081,1.0,0.9146443691300224,0.6592398513454233,0.5455150321677016,0.5302360988826585
9,-0.0563298,0.0767663,2.2305,DSB,29,30,37,0.9252246618270874,10.774094860069454,0.3990405503729427,0.9503547549247742,0.4344889745087062,27,0.47242110036313534,-0.3867114116437733,0.008479088544845581,0.6105729333227824,0.08587493184750344,False,,carbon,calibration,0.8205478035603921,0.2586242922523279,0.40474488051790136,0.4233273193917319,0.08753,0.0,0.576672680608268,1.0,0.9157636986135287,0.6637084830842487,0.5514750188624284,0.5363964491659168
