dsb_id,x,y,z,complexity,i_energy,j_energy,k_energy,E_local,E_total_3x3x3,E_mean_3x3x3,E_max_3x3x3,E_std_3x3x3,n_active_3x3x3,grad_x,grad_y,grad_z,grad_mag,core_frac,is_local_max,run_id,particle,dataset_type,E_mean,E_std,E_zscore,f_direct,delta_f_used,p2_local,p3_local,P_DSB_21p000,P_DSB_2p100,P_DSB_0p210,P_DSB_0p021,P_DSB_0p001
0,3.97728,-0.384652,0.0865505,DSB,42,28,30,0.01246265694499016,0.34853595308959484,0.012908739003318327,0.01904928870499134,0.002514900097332913,27,-0.00044325087219476526,-0.0014289799146354207,0.0013497816398739806,0.0020150348402630082,0.035757163169191745,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-0.6900478869816962,0.03763652904347534,0.00357,0.32072098589331416,0.6416424850632105,1.0,0.8811358463719018,0.5085415789591177,0.32584126754717396,0.299526787105144
1,1.25511,-3.03861,0.121364,DSB,34,20,30,0.01530104875564575,0.39359938725829124,0.014577755083640417,0.02350500039756298,0.0031322083101633764,27,-0.0013725650496780846,0.0030139186419546604,-0.00024398649111390027,0.003320718266243871,0.03887467625950822,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,0.25017654495542635,0.04099313026549087,0.00357,0.31960235194089953,0.6394045177936096,1.0,0.8815570788632335,0.5102832163557774,0.32823036092609675,0.3020091341170281
2,1.98901,-2.111,-2.37776,DSB,36,23,22,0.01007547043263912,0.3764200769364834,0.013941484330980866,0.01746257208287716,0.002117023953209001,27,0.0014115176163613744,-0.0014714868739247348,-0.0010246341116726398,0.002282001460173605,0.026766559622993954,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-1.480809428104097,0.03481351034166837,0.00357,0.32166179606386114,0.6435246935944705,1.0,0.880781538536527,0.5070766497603573,0.3238317490009707,0.29743883089443174
3,2.6331,2.22526,0.65044,DSB,38,37,32,0.01144057419151068,0.3968327194452286,0.014697508127601058,0.02640802785754204,0.003363803163684938,27,-0.00192110566422343,0.007497327402234081,0.00158016476780176,0.007899207925026621,0.028829714967747,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-1.0286153718072009,0.03642784312264829,0.00357,0.32112379725498996,0.6424483596223619,1.0,0.8809841522549279,0.5079143810282555,0.3249809079644211,0.29863284505238274
4,-3.568309,1.13968,0.26716,DSB,18,33,30,0.01715249754488468,0.36820507049560547,0.013637224833170572,0.02258539013564587,0.0029978150196585925,27,-0.0019993619062006448,-0.001244226936250925,-0.0015277843922376607,0.002807075675863342,0.04658408837703069,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,0.8634736167648239,0.043182600811850415,0.00357,0.31887268048785194,0.6379447187002977,1.0,0.8818318182585553,0.5114191600806194,0.32978859321776305,0.30362818898828775
5,2.16908,-0.977549,1.56087,DSB,37,26,35,0.01081444043666124,0.3475826187059283,0.01287343032244179,0.01829180680215359,0.002251861714570865,27,0.003306918777525426,0.0009167739190161202,-0.0005246717482805252,0.003471522240052939,0.03111329466615149,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-1.2360237541735515,0.03568739519760042,0.00357,0.3213705618046543,0.6429420429977454,1.0,0.880891220539552,0.5075301434536026,0.32445382956836866,0.2980851931719613
6,-0.877705,-1.22325,1.69892,DSB,27,26,35,0.01052545290440321,0.3732432797551155,0.01382382517611539,0.01941704377532005,0.0025450581423260817,27,-0.00022056885063647964,-0.0005794106982648399,-0.00103918416425586,0.0012100707013951695,0.028199979678885975,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-1.331751601658941,0.03534564678207758,0.00357,0.32148445420816063,0.6431698990097618,1.0,0.880848327798174,0.507352798153877,0.32421055592129955,0.29783242380924
7,-1.10346,0.476144,3.13734,DSB,26,31,40,0.01413551531732082,0.3403878463432193,0.012606957271971085,0.01747144013643265,0.0020368456321057933,27,0.0018841144628822795,0.00162717653438449,0.0002210959792137146,0.0024992947435863123,0.04152767341471468,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,-0.1359093403120006,0.039614803655086156,0.00357,0.3200616984172705,0.6403234979276434,1.0,0.8813841132043053,0.5095680686258982,0.32724935609140327,0.3009898376585769
8,-2.93234,1.40381,-1.23179,DSB,20,34,26,0.01501747407019138,0.3521600947715342,0.013042966473019786,0.01883556693792343,0.002726558564406908,27,0.004051890689879656,-0.001520612742751835,0.0005866186693310703,0.004367402287328298,0.04264388354362355,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,0.15624171659869543,0.04065778292825734,0.00357,0.31971411109620845,0.6396281059755342,1.0,0.8815149969931335,0.5101092237027992,0.3279916862765924,0.3017611432648343
9,-0.767677,3.98669,0.63749,DSB,27,42,32,0.01694653742015362,0.4078042833134532,0.01510386234494271,0.02549582906067371,0.003749834998824398,27,0.0011466434225440051,0.003666412550956011,-0.002973406575620176,0.004857830667717072,0.041555565043161505,False,,electron,calibration,0.014545804547668096,0.0030188449844977096,0.7952488070151676,0.04293903824104414,0.00357,0.3189538510956245,0.6381071106633314,1.0,0.8818012565065995,0.5112927987689714,0.32961525692308474,0.3034480868470564
