dsb_id,x,y,z,complexity,i_energy,j_energy,k_energy,E_local,E_total_3x3x3,E_mean_3x3x3,E_max_3x3x3,E_std_3x3x3,n_active_3x3x3,grad_x,grad_y,grad_z,grad_mag,core_frac,is_local_max,run_id,particle,dataset_type,E_mean,E_std,E_zscore,f_direct,delta_f_used,p2_local,p3_local,P_DSB_21p000,P_DSB_2p100,P_DSB_0p210,P_DSB_0p021,P_DSB_0p001
0,-0.052066,0.010288,-0.535246,DSB,29,30,28,1.246543884277344,15.347894445993006,0.568440535036778,1.292195320129395,0.6121897555509722,27,0.6062087668105959,-0.6326372651383279,-0.008993387222290039,0.8762418953767598,0.08121921144712509,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.29532546749200256,0.10294302309869302,0.02588,0.262662090395884,0.6343948865054231,1.0,0.8867556443747614,0.5340510002387894,0.3632572016879037,0.33886359737977123
1,-0.0566273,0.0775107,1.32729,DSB,29,30,34,1.260869145393372,15.69961349735968,0.581467166568877,1.330419778823853,0.6286590924632227,27,0.6252540205605326,-0.6533156745135786,0.020739912986755038,0.9045408253821059,0.08031211377307737,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.33049129260039983,0.10385311465249834,0.02588,0.2623956117260453,0.6337512736214563,1.0,0.8868722964723742,0.5345309705463837,0.3639131053102334,0.3395446286572072
2,0.029376,-0.032922,1.012155,DSB,30,29,33,1.258137106895447,15.713112136349086,0.5819671161610772,1.330419778823853,0.6262076227885971,27,-0.6312585901468991,0.634433778002858,-0.0069225430488584205,0.8950092445933137,0.08006925018914127,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.3237846512882952,0.10367954677534108,0.02588,0.26244643313718596,0.633874020087473,1.0,0.8868500494779722,0.5344394342863021,0.3637880163961653,0.3394147475892566
3,-0.264601,0.10174,3.051751,DSB,29,30,39,1.272723436355591,15.931762804277241,0.5900652890473053,1.332249999046326,0.6292715076375681,27,0.6409303974360228,-0.6442640796303751,-0.006881892681121493,0.9087988441378801,0.07988591419486987,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.3595913501410635,0.10460622414165072,0.02588,0.26217509807104755,0.6332186777873017,1.0,0.8869688244539392,0.5349281392724619,0.36445585639710076,0.34010817252773223
4,-0.001856,-0.040281,-2.005127,DSB,29,29,23,1.289421081542969,15.528970518615097,0.5751470562450036,1.299835443496704,0.6199452450168443,27,0.6193089419975875,0.6010020580142735,0.018186271190643533,0.8631788805545366,0.0830332622498841,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.40058093250367893,0.1056670345331952,0.02588,0.2618644882857927,0.6324684771810122,1.0,0.8871047870308184,0.5354875634164024,0.3652203376923466,0.3409019410866372
5,0.051298,-0.01363,-3.32358,DSB,30,29,19,1.210263609886169,15.664616204798222,0.5801709705480823,1.30450165271759,0.6204586458656098,27,-0.6324188932776451,0.6301426738500595,-0.033266961574554554,0.8933868908338799,0.07726098067537565,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.20626420893684472,0.10063811772728554,0.02588,0.2633369764718051,0.6360249058009094,1.0,0.8864601940524853,0.53283535658588,0.3615959633513036,0.3371387170345737
6,-0.105728,0.03052,-0.013315,DSB,29,30,29,1.249852895736694,15.326486811041832,0.567647659668216,1.292195320129395,0.61126718546413,27,0.6357508059591057,-0.6225318703800442,-0.012021243572234996,0.8898705114866722,0.08154855781014125,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.30344846904280753,0.10315324637882786,0.02588,0.2626005361271676,0.6342462174940046,1.0,0.8867825903235065,0.5341618705580746,0.3634087115685724,0.33902091160104275
7,-0.023962,-0.00073,-4.043368,DSB,29,29,16,1.246516942977905,15.53672162257135,0.5754341341693092,1.314007163047791,0.6215898956583048,27,0.6122877830639479,0.6139573883265259,0.030888795852661022,0.8676370910002178,0.0802303711979313,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.29525933166267365,0.10294131150342999,0.02588,0.26266259155824184,0.6343960969383281,1.0,0.8867554249855218,0.5340500975518863,0.363255968120743,0.3388623165546765
8,0.165643,0.141224,-2.110431,DSB,30,30,23,1.251765489578247,15.546573099214584,0.5757990036746142,1.299835443496704,0.6193549822261367,27,-0.5986712416633962,-0.6195520488545296,-0.008806943893432506,0.8615854914605864,0.08051713272048398,False,,proton,calibration,1.1262391730130614,0.407363145095302,0.3081435276522596,0.10327475449564047,0.02588,0.26256495803482355,0.634160287469536,1.0,0.8867981648730752,0.5342259527434794,0.3634962831055379,0.3391118380018985
9,-0.0151022,-0.0591087,0.775212,DSB+,29,29,32,1.308703303337097,15.552815791452304,0.5760302144982334,1.308703303337097,0.6218237426366362,27,0.6308230981230736,0.6285305097699165,0.015545189380645419,0.89063462528138,0.08414574703934094,True,,proton,calibration,1.1262391730130614,0.407363145095302,0.44791516493557193,0.1068920444685326,0.02588,0.26150580017717,0.6316021553542973,1.0,0.8872617886898748,0.5361335538111933,0.36610311613349106,0.3418185387528158
