dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
50,9,0.058834,-0.021435,3.11817,DSB,2,0,0,DIRECT,1.0,0.0,13,0.262704264085
51,9,0.05743,-0.020513,-3.44793,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.700643745693
52,9,0.058797,-0.021753,-3.179778,DSB,2,1,1,DIRECT,1.0,0.0,18,0.622233685964
53,10,-0.023745,-0.000353,3.524566,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.260016335464
54,10,-0.024624,0.000169,-0.753988,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.796841842666
55,10,-0.033638,0.021198,-0.545461,DSB,2,0,0,DIRECT,1.0,0.0,16,0.766525237345
56,10,-0.022492,0.017476,-0.540246,DSB,2,0,0,DIRECT,1.0,0.0,16,0.766538002014
57,10,-0.034615,-0.000607,-1.000971,DSB,2,0,0,DIRECT,1.0,0.0,16,0.852215674692
58,10,-0.074095,0.718047,2.7999,DSB,2,0,0,DIRECT,1.0,0.0,17,0.533477942469
59,10,-0.024363,-0.000297,-3.503574,DSB,2,1,1,DIRECT,1.0,0.0,18,0.700352776825
60,10,-0.025188,1.4e-05,-1.954474,DSB+,3,1,1,DIRECT,1.0,0.0,22,0.003815897463
61,11,0.041595,0.0167,3.433875,DSB+,4,0,0,DIRECT,1.0,0.0,13,0.25948149981
62,11,0.040765,0.017054,0.999245,DSB,2,0,0,DIRECT,1.0,0.0,13,0.903836052013
63,11,0.040368,0.016995,0.896126,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917528211605
64,11,0.041065,0.017046,-0.664067,DSB,2,0,0,DIRECT,1.0,0.0,16,0.798000072329
65,12,0.0558532,0.0568644,2.14903,DSB+,4,0,0,DIRECT,1.0,0.0,13,0.473601126618
66,12,0.055374,0.057251,0.861567,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.91756801622
67,12,0.053566,0.058044,2.849719,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.557255174231
68,12,0.056615,0.056805,2.560122,DSB,2,0,0,DIRECT,1.0,0.0,13,0.479122353489
69,12,0.056493,0.057182,2.598348,DSB,2,0,0,DIRECT,1.0,0.0,13,0.480250442239
70,12,0.055359,0.057399,0.887854,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917560531697
71,12,0.05689,0.054611,-0.304257,DSB+,4,1,1,DIRECT,1.0,0.0,16,0.710718009301
72,12,0.056036,0.057589,4.058499,DSB,2,0,0,DIRECT,1.0,0.0,17,0.037898257493
