dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
443,129516,2.94692,0.263677,-1.84536,DSB+,3,2,1,DIRECT,1.0,0.0,21,0.740343318723
444,129665,-0.418702,2.466615,-1.796955,DSB,2,2,1,DIRECT,1.0,0.0,34,0.579503067087
445,129709,0.665252,3.053709,0.886052,DSB,2,0,0,DIRECT,1.0,0.0,39,0.5903097124
446,130375,-1.58598,-3.55446,1.73916,DSB,2,2,1,DIRECT,1.0,0.0,1,0.112044480095
447,131303,0.223722,-1.70295,0.168947,DSB,2,0,0,DIRECT,1.0,0.0,4,0.96908926204
448,131533,2.25232,-3.70155,0.606262,DSB+,3,2,1,DIRECT,1.0,0.0,2,0.469347682491
449,131711,2.99628,0.904498,-2.77885,DSB,2,0,0,DIRECT,1.0,0.0,32,0.451727319594
450,132325,-1.18549,2.01887,-2.36109,DSB,2,0,0,DIRECT,1.0,0.0,33,0.435459027762
451,133413,-2.46509,1.88266,-1.94858,DSB,2,1,1,DIRECT,1.0,0.0,27,0.816848461074
452,133923,-1.19282,-2.75283,1.294,DSB,2,0,0,DIRECT,1.0,0.0,2,0.331971088887
453,134181,3.947358,-0.74157,1.082342,DSB,2,1,1,DIRECT,1.0,0.0,14,0.36095894222
454,134684,-0.728995,-0.97741,0.0904705,DSB+,3,0,0,DIRECT,1.0,0.0,11,0.698887237198
455,134950,1.9412,-3.3369,2.2121,DSB,2,1,1,DIRECT,1.0,0.0,2,0.312872746647
456,135948,-0.471301,1.33902,-0.687808,DSB,2,0,0,DIRECT,1.0,0.0,23,0.770192994669
457,135979,0.0293898,-3.26811,1.97349,DSB,2,1,1,DIRECT,1.0,0.0,1,0.640481692345
458,136246,3.3557,1.04626,2.81949,DSB+,3,0,0,DIRECT,1.0,0.0,24,0.390958388942
459,136246,3.346065,1.055165,2.828214,DSB,2,0,0,DIRECT,1.0,0.0,24,0.390967944085
460,136713,-1.61414,0.676299,-0.160013,DSB+,3,1,1,DIRECT,1.0,0.0,19,0.654307509191
461,136859,-2.51716,2.17702,1.69378,DSB,2,0,0,DIRECT,1.0,0.0,26,0.395893557927
462,136922,0.135526,-2.922121,-0.840407,DSB,2,0,0,DIRECT,1.0,0.0,5,0.318035828234
463,137149,0.677302,-2.997332,-0.121773,DSB,2,0,0,DIRECT,1.0,0.0,5,0.364717491945
464,137363,-4.36881,-0.663183,-1.24256,DSB,2,2,1,DIRECT,1.0,0.0,12,0.153065599209
