dsb_id,event_id,x_um,y_um,z_um,complexity,n_backbone_breaks,n_base_damage,has_base_damage_in_cluster,cause,direct_fraction,indirect_fraction,chromosome,chromosome_position
196,309,-0.095408,0.187802,-0.076778,DSB,2,1,1,DIRECT,1.0,0.0,16,0.712787486338
197,309,-0.123646,0.070845,-1.445456,DSB,2,0,0,DIRECT,1.0,0.0,23,0.004501203815
198,310,0.019402,0.185361,-1.45867,DSB,2,2,1,DIRECT,1.0,0.0,23,0.004477777827
199,310,0.008381,0.183997,-1.456471,DSB,2,0,0,DIRECT,1.0,0.0,23,0.004474622339
200,312,0.028718,-0.103853,-0.592733,DSB+,3,1,1,DIRECT,1.0,0.0,16,0.764761268538
201,319,-0.083924,0.050525,-3.817512,DSB,2,0,0,DIRECT,1.0,0.0,18,0.711866478913
202,322,0.00887,0.029746,-3.788508,DSB+,3,2,1,DIRECT,1.0,0.0,18,0.715313489506
203,323,1.45894,-1.89367,3.79043,DSB+,3,2,1,DIRECT,1.0,0.0,6,0.148116768166
204,323,1.905352,-1.835895,3.55054,DSB,2,0,0,DIRECT,1.0,0.0,6,0.50142675806
205,324,-0.035122,-0.030178,1.183143,DSB+,3,0,0,DIRECT,1.0,0.0,13,0.903574290663
206,325,-0.034705,-0.012076,-0.569776,DSB+,4,1,1,DIRECT,1.0,0.0,16,0.766183558088
207,327,-0.070135,-0.009515,-0.465993,DSB,2,1,1,DIRECT,1.0,0.0,16,0.764239377063
208,328,-0.012703,0.040819,-4.378484,DSB,2,0,0,DIRECT,1.0,0.0,18,0.877038260673
209,329,-0.128801,-0.020141,-2.503713,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.407788541745
210,331,0.203302,-1.496253,-3.344181,DSB,2,0,0,DIRECT,1.0,0.0,9,0.67799980211
211,331,0.012992,0.028684,-3.246168,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.622007370644
212,331,-0.116606,0.120019,-2.906799,DSB,2,0,0,DIRECT,1.0,0.0,18,0.608519629013
213,332,0.011147,0.050349,4.301876,DSB,2,1,1,DIRECT,1.0,0.0,17,0.039316171896
214,332,-0.010408,0.00814,-3.610565,DSB+,3,1,1,DIRECT,1.0,0.0,18,0.7158795254
215,333,-0.023177,-0.038056,-3.822165,DSB,2,0,0,DIRECT,1.0,0.0,18,0.71042580674
216,335,0.020312,-0.044028,-3.625952,DSB,2,0,0,DIRECT,1.0,0.0,18,0.71450700797
217,336,0.040045,0.032038,2.171635,DSB,2,0,0,DIRECT,1.0,0.0,13,0.473703823385
218,336,2.317861,-1.392421,2.169555,DSB,2,1,1,DIRECT,1.0,0.0,14,0.012808462681
219,338,-0.044894,-0.019777,-4.118686,DSB,2,0,0,DIRECT,1.0,0.0,18,0.783577803258
220,339,0.0916893,0.0472278,2.58968,DSB,2,1,1,DIRECT,1.0,0.0,13,0.480280706549
221,340,0.0,-0.053694,0.755955,DSB,2,0,0,DIRECT,1.0,0.0,13,0.918313089422
222,342,-0.017611,0.006189,2.329017,DSB,2,0,0,DIRECT,1.0,0.0,13,0.481293419159
223,344,-0.035802,-0.071173,-0.598754,DSB,2,0,0,DIRECT,1.0,0.0,16,0.765033492189
224,345,0.027677,-0.017307,-1.597885,DSB,2,1,1,DIRECT,1.0,0.0,23,0.003800751996
225,347,-0.045466,0.043665,2.348646,DSB,2,0,0,DIRECT,1.0,0.0,13,0.482122588611
226,347,-0.044691,0.042983,-0.009599,DSB,2,0,0,DIRECT,1.0,0.0,16,0.679583259665
227,347,-0.030691,0.034379,-3.108664,DSB,2,0,0,DIRECT,1.0,0.0,18,0.621332169988
228,350,0.523608,0.217451,2.431037,DSB,2,0,0,DIRECT,1.0,0.0,17,0.144073878013
229,351,0.125444,0.287461,-0.874321,DSB,2,1,1,DIRECT,1.0,0.0,23,0.046488001017
230,359,0.074163,0.050256,-1.598573,DSB,2,0,0,DIRECT,1.0,0.0,23,0.003633784561
231,360,-0.045593,-0.017592,-0.666523,DSB,2,0,0,DIRECT,1.0,0.0,16,0.798149899811
232,362,-0.200884,-0.0317978,0.647989,DSB,2,1,1,DIRECT,1.0,0.0,13,0.919477542122
233,362,-0.080026,-0.014739,0.685371,DSB,2,0,0,DIRECT,1.0,0.0,13,0.917150317046
234,362,-0.076877,-0.023094,-3.839176,DSB,2,0,0,DIRECT,1.0,0.0,18,0.712018181108
235,363,-0.013708,-0.062707,-1.748976,DSB+,3,0,0,DIRECT,1.0,0.0,22,0.003232133399
236,364,0.065856,-0.086021,-4.074703,DSB+,3,0,0,DIRECT,1.0,0.0,18,0.780364849672
237,365,-0.00800946,-0.0196756,4.54156,DSB+,3,0,0,DIRECT,1.0,0.0,7,0.845813065502
238,365,-0.001587,-0.016197,-3.079448,DSB,2,1,1,DIRECT,1.0,0.0,18,0.621422336232
239,367,-0.080188,0.026477,-0.729425,DSB,2,1,1,DIRECT,1.0,0.0,16,0.796923071771
240,368,0.024321,0.134227,-1.850577,DSB,2,1,1,DIRECT,1.0,0.0,22,0.005688070791
241,369,-0.0128872,0.0975815,3.70286,DSB,2,0,0,DIRECT,1.0,0.0,13,0.196794525219
242,370,-0.042343,-0.037263,-4.119014,DSB,2,0,0,DIRECT,1.0,0.0,18,0.783564719109
243,372,0.07584,0.160372,-1.245205,DSB,2,0,0,DIRECT,1.0,0.0,23,0.036726576599
244,373,-0.023202,0.026824,3.395595,DSB,2,0,0,DIRECT,1.0,0.0,13,0.260682014863
245,375,-0.118246,0.39727,3.008202,DSB+,3,0,0,DIRECT,1.0,0.0,17,0.201387317303
246,379,-0.0162759,-0.0327006,3.25308,DSB+,3,2,1,DIRECT,1.0,0.0,13,0.263462613699
247,380,0.0057278,-0.0217715,2.20362,DSB,2,0,0,DIRECT,1.0,0.0,13,0.473644858145
